areaName	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05
All Downtown	3500.000	3495.000	3595.000	3600.000	3595.000	3545.000	3595.000	3570.000	3600.000	3650.000	3692.000	3670.000	3650.000	3628.000	3523.000	3550.000	3555.000	3500.000	3500.000	3500.000	3556.000	3500.000	3505.000	3500.000	3500.000	3495.000	3550.000	3500.000	3500.000	3495.000	3499.000	3500.000	3568.000	3563.000	3550.000	3500.000	3500.000	3500.000	3552.000	3599.000	3600.000	3700.000	3695.000	3700.000	3750.000	3695.000	3800.000	3800.000
All Midtown	3551.000	3550.000	3500.000	3500.000	3500.000	3480.000	3495.000	3450.000	3500.000	3500.000	3550.000	3600.000	3575.000	3500.000	3500.000	3500.000	3495.000	3457.000	3490.000	3435.000	3495.000	3500.000	3500.000	3510.000	3515.000	3500.000	3500.000	3495.000	3495.000	3300.000	3329.000	3350.000	3385.000	3375.000	3395.000	3495.000	3500.000	3495.000	3500.000	3500.000	3500.000	3495.000	3510.000	3500.000	3550.000	3595.000	3607.000	3650.000
All Upper East Side	2800.000	2800.000	2850.000	2950.000	2850.000	2800.000	2895.000	2900.000	2895.000	2948.000	2895.000	2850.000	2795.000	2750.000	2749.000	2775.000	2790.000	2800.000	2865.000	2800.000	2800.000	2850.000	2850.000	2800.000	2805.000	2798.000	2795.000	2850.000	2785.000	2795.000	2795.000	2800.000	2750.000	2775.000	2697.000	2695.000	2800.000	2795.000	2778.000	2795.000	2850.000	2900.000	2950.000	2950.000	2995.000	2950.000	2850.000	2895.000
All Upper Manhattan	1900.000	1900.000	1900.000	1895.000	1850.000	1850.000	1850.000	1860.000	1875.000	1921.000	1908.000	1950.000	1950.000	1960.000	1950.000	1921.000	1950.000	1900.000	1950.000	1950.000	1950.000	1925.000	1950.000	1950.000	1950.000	1975.000	1995.000	1975.000	1950.000	1900.000	1901.000	1900.000	1950.000	1950.000	1995.000	2000.000	2000.000	1995.000	1950.000	1950.000	1950.000	1950.000	1950.000	1995.000	1995.000	1995.000	1995.000	2000.000
All Upper West Side	3150.000	3228.000	3250.000	3298.000	3250.000	3200.000	3200.000	3200.000	3200.000	3200.000	3250.000	3230.000	3170.000	3195.000	3195.000	3200.000	3200.000	3130.000	3100.000	3100.000	3100.000	3100.000	3100.000	3100.000	3100.000	3100.000	3104.000	3100.000	3095.000	3060.000	3145.000	3100.000	3081.000	3099.000	3100.000	3113.000	3100.000	3050.000	3070.000	3100.000	3164.000	3099.000	3167.000	3240.000	3200.000	3231.000	3395.000	3250.000
Battery Park City	3785.000	3705.000	3798.000	3835.000	3813.000	3800.000	3700.000	3525.000	3600.000	3615.000	3750.000	3825.000	3795.000	3813.000	3683.000	3600.000	3550.000	3525.000	3585.000	3600.000	3575.000	3513.000	3500.000	3575.000	3694.000	3681.000	3600.000	3475.000	3550.000	3462.000	3564.000	3499.000	3475.000	3595.000	3575.000	3698.000	3650.000	3950.000	3950.000	3828.000	3750.000	3800.000	3825.000	3688.000	3995.000	3975.000	3960.000	3938.000
Central Harlem	1999.000	1995.000	2000.000	1950.000	1900.000	1965.000	2025.000	2000.000	2000.000	2100.000	2100.000	2100.000	2100.000	2100.000	2000.000	2000.000	2099.000	2000.000	2090.000	2100.000	2095.000	2062.000	2040.000	2062.000	2062.000	2100.000	2150.000	2100.000	2000.000	1995.000	2050.000	2148.000	2175.000	2238.000	2250.000	2250.000	2200.000	2250.000	2150.000	2100.000	2100.000	2100.000	2100.000	2150.000	2100.000	2100.000	2200.000	2300.000
Central Park South	6250.000	6500.000	6950.000	7250.000	7850.000	7500.000	7500.000	7238.000	7000.000	6995.000	6995.000	6490.000	6620.000	6825.000	6500.000	6500.000	6500.000	6495.000	6500.000	6500.000	6350.000	6500.000	5825.000	5950.000	6500.000	6481.000	6500.000	6500.000	6550.000	6000.000	5998.000	6100.000	6225.000	6100.000	6200.000	5500.000	5850.000	6698.000	6750.000	6950.000	6750.000	6600.000	6950.000	6600.000	6500.000	6200.000	6100.000	5700.000
Chelsea	3850.000	3890.000	3900.000	3895.000	3963.000	3800.000	3875.000	3868.000	3895.000	3850.000	3995.000	4000.000	4000.000	3975.000	3895.000	3895.000	3895.000	3934.000	3861.000	3850.000	3915.000	3865.000	3872.000	3916.000	3850.000	3800.000	3851.000	3825.000	3895.000	3880.000	3852.000	3900.000	3950.000	3995.000	3750.000	3695.000	3872.000	3848.000	4033.000	4165.000	3988.000	3995.000	4000.000	4162.000	4298.000	4245.000	4245.000	4258.000
Chinatown	2298.000	2300.000	2800.000	2700.000	2500.000	2300.000	2200.000	2195.000	2150.000	2295.000	2200.000	2200.000	2300.000	2400.000	2398.000	2700.000	2400.000	2450.000	2450.000	2375.000	2285.000	2300.000	2400.000	2400.000	2300.000	2300.000	2275.000	2300.000	2485.000	2450.000	2475.000	2349.000	2189.000	2300.000	2250.000	2075.000	2250.000	2350.000	2250.000	2300.000	2395.000	2400.000	2350.000	2271.000	2225.000	2300.000	2250.000	2300.000
